date,region,count
2021-04-24,PE,20225
2021-04-24,QC,695731
2021-04-24,SK,78963
2021-04-24,YT,1089
2021-04-24,NPTS,260108
2021-04-25,AB,87213
2021-04-25,BC,176910
2021-04-25,MB,126644
2021-04-25,NB,83180
2021-04-25,NL,118314
2021-04-25,NT,2777
2021-04-25,NS,123587
2021-04-25,NU,783
2021-04-25,ON,1460851
2021-04-25,PE,20240
2021-04-25,QC,694563
2021-04-25,SK,78804
2021-04-25,YT,1096
2021-04-25,NPTS,260406
2021-04-26,AB,87243
2021-04-26,BC,176978
2021-04-26,MB,127164
2021-04-26,NB,83691
2021-04-26,NL,118689
2021-04-26,NT,2803
2021-04-26,NS,125021
2021-04-26,NU,791
2021-04-26,ON,1466073
2021-04-26,PE,20272
2021-04-26,QC,695835
2021-04-26,SK,79001
2021-04-26,YT,1098
2021-04-26,NPTS,261794
2021-04-27,AB,87341
2021-04-27,BC,177152
2021-04-27,MB,127381
2021-04-27,NB,83905
2021-04-27,NL,118555
2021-04-27,NT,2806
2021-04-27,NS,126405
2021-04-27,NU,796
2021-04-27,ON,1466011
2021-04-27,PE,20264
2021-04-27,QC,695094
2021-04-27,SK,79023
2021-04-27,YT,1106
2021-04-27,NPTS,262119
2021-04-28,AB,87147
2021-04-28,BC,176935
2021-04-28,MB,127445
2021-04-28,NB,83995
2021-04-28,NL,118457
2021-04-28,NT,2833
2021-04-28,NS,127232
2021-04-28,NU,792
2021-04-28,ON,1466108
2021-04-28,PE,20245
2021-04-28,QC,694504
2021-04-28,SK,79074
2021-04-28,YT,1100
2021-04-28,NPTS,261839
2021-04-29,AB,87190
2021-04-29,BC,176832
2021-04-29,MB,127431
2021-04-29,NB,84222
2021-04-29,NL,118371
2021-04-29,NT,2833
2021-04-29,NS,127718
2021-04-29,NU,794
2021-04-29,ON,1465996
2021-04-29,PE,20218
2021-04-29,QC,693808
2021-04-29,SK,79033
2021-04-29,YT,1106
2021-04-29,NPTS,261753
2021-04-30,AB,87191
2021-04-30,BC,176640
2021-04-30,MB,127599
2021-04-30,NB,84286
2021-04-30,NL,118400
2021-04-30,NT,2831
2021-04-30,NS,127812
2021-04-30,NU,792
2021-04-30,ON,1466024
2021-04-30,PE,20248
2021-04-30,QC,693047
2021-04-30,SK,78991
2021-04-30,YT,1096
2021-04-30,NPTS,262361
2021-05-01,AB,86959
2021-05-01,BC,176099
2021-05-01,MB,127031
2021-05-01,NB,84056
2021-05-01,NL,118061
2021-05-01,NT,2808
2021-05-01,NS,127824
2021-05-01,NU,803
2021-05-01,ON,1460625
2021-05-01,PE,20212
2021-05-01,QC,689097
2021-05-01,SK,78817
2021-05-01,YT,1099
2021-05-01,NPTS,261887
2021-05-02,AB,86880
2021-05-02,BC,175749
2021-05-02,MB,126784
2021-05-02,NB,83909
2021-05-02,NL,118152
2021-05-02,NT,2817
2021-05-02,NS,128167
2021-05-02,NU,793
2021-05-02,ON,1458563
2021-05-02,PE,20182
2021-05-02,QC,688583
2021-05-02,SK,78760
2021-05-02,YT,1088
2021-05-02,NPTS,262105
2021-05-03,AB,87057
2021-05-03,BC,175795
2021-05-03,MB,127287
2021-05-03,NB,84195
2021-05-03,NL,118520
2021-05-03,NT,2872
2021-05-03,NS,128857
2021-05-03,NU,808
2021-05-03,ON,1464078
2021-05-03,PE,20254
2021-05-03,QC,690231
2021-05-03,SK,78892
2021-05-03,YT,1091
2021-05-03,NPTS,263423
2021-05-04,AB,87058
2021-05-04,BC,175808
2021-05-04,MB,127494
2021-05-04,NB,84359
2021-05-04,NL,118495
2021-05-04,NT,2960
2021-05-04,NS,129141
2021-05-04,NU,794
2021-05-04,ON,1464348
2021-05-04,PE,20270
2021-05-04,QC,690266
2021-05-04,SK,78967
2021-05-04,YT,1096
2021-05-04,NPTS,263900
2021-05-05,AB,86961
2021-05-05,BC,175695
2021-05-05,MB,127615
2021-05-05,NB,84488
2021-05-05,NL,118573
2021-05-05,NT,3016
2021-05-05,NS,129610
2021-05-05,NU,793
2021-05-05,ON,1463870
2021-05-05,PE,20239
2021-05-05,QC,688767
2021-05-05,SK,78901
2021-05-05,YT,1091
2021-05-05,NPTS,264307
2021-05-06,AB,86943
2021-05-06,BC,175325
2021-05-06,MB,127447
2021-05-06,NB,84305
2021-05-06,NL,118477
2021-05-06,NT,3043
2021-05-06,NS,129938
2021-05-06,NU,781
2021-05-06,ON,1463678
2021-05-06,PE,20240
2021-05-06,QC,688481
2021-05-06,SK,78782
2021-05-06,YT,1100
2021-05-06,NPTS,265069
2021-05-07,AB,86850
2021-05-07,BC,175193
2021-05-07,MB,127449
2021-05-07,NB,84325
2021-05-07,NL,118365
2021-05-07,NT,3046
2021-05-07,NS,130386
2021-05-07,NU,782
2021-05-07,ON,1462488
2021-05-07,PE,20279
2021-05-07,QC,687497
2021-05-07,SK,78702
2021-05-07,YT,1101
2021-05-07,NPTS,265617
2021-05-08,AB,86566
2021-05-08,BC,174725
2021-05-08,MB,126948
2021-05-08,NB,84058
2021-05-08,NL,117944
2021-05-08,NT,3029
2021-05-08,NS,130334
2021-05-08,NU,788
2021-05-08,ON,1456277
2021-05-08,PE,20268
2021-05-08,QC,683440
2021-05-08,SK,78567
2021-05-08,YT,1094
2021-05-08,NPTS,265024
2021-05-09,AB,86358
2021-05-09,BC,174446
2021-05-09,MB,126958
2021-05-09,NB,83957
2021-05-09,NL,117883
2021-05-09,NT,3061
2021-05-09,NS,130390
2021-05-09,NU,791
2021-05-09,ON,1454369
2021-05-09,PE,20261
2021-05-09,QC,683489
2021-05-09,SK,78413
2021-05-09,YT,1086
2021-05-09,NPTS,264871
2021-05-10,AB,86313
2021-05-10,BC,174445
2021-05-10,MB,127340
2021-05-10,NB,84039
2021-05-10,NL,118079
2021-05-10,NT,3047
2021-05-10,NS,130905
2021-05-10,NU,776
2021-05-10,ON,1457489
2021-05-10,PE,20292
2021-05-10,QC,683864
2021-05-10,SK,78483
2021-05-10,YT,1087
2021-05-10,NPTS,266223
2021-05-11,AB,86240
2021-05-11,BC,174120
2021-05-11,MB,127252
2021-05-11,NB,83933
2021-05-11,NL,118007
2021-05-11,NT,3046
2021-05-11,NS,130823
2021-05-11,NU,778
2021-05-11,ON,1455487
2021-05-11,PE,20275
2021-05-11,QC,682039
2021-05-11,SK,78482
2021-05-11,YT,1084
2021-05-11,NPTS,266617
