date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-05-02,enabled-active,denied-refuse,<20
2021-05-02,disabled-desactive,blocked-bloque,76
2021-05-02,disabled-desactive,granted-autorise,1173
2021-05-02,disabled-desactive,denied-refuse,<20
2021-05-03,enabled-active,blocked-bloque,68
2021-05-03,enabled-active,granted-autorise,2702
2021-05-03,enabled-active,denied-refuse,<20
2021-05-03,disabled-desactive,blocked-bloque,78
2021-05-03,disabled-desactive,granted-autorise,1237
2021-05-03,disabled-desactive,denied-refuse,<20
2021-05-04,enabled-active,blocked-bloque,63
2021-05-04,enabled-active,granted-autorise,2829
2021-05-04,enabled-active,denied-refuse,<20
2021-05-04,disabled-desactive,blocked-bloque,99
2021-05-04,disabled-desactive,granted-autorise,1148
2021-05-04,disabled-desactive,denied-refuse,<20
2021-05-05,enabled-active,blocked-bloque,78
2021-05-05,enabled-active,granted-autorise,2556
2021-05-05,enabled-active,denied-refuse,<20
2021-05-05,disabled-desactive,blocked-bloque,101
2021-05-05,disabled-desactive,granted-autorise,1173
2021-05-05,disabled-desactive,denied-refuse,<20
2021-05-06,enabled-active,blocked-bloque,73
2021-05-06,enabled-active,granted-autorise,2535
2021-05-06,enabled-active,denied-refuse,<20
2021-05-06,disabled-desactive,blocked-bloque,104
2021-05-06,disabled-desactive,granted-autorise,1151
2021-05-06,disabled-desactive,denied-refuse,<20
2021-05-07,enabled-active,blocked-bloque,61
2021-05-07,enabled-active,granted-autorise,2578
2021-05-07,enabled-active,denied-refuse,<20
2021-05-07,disabled-desactive,blocked-bloque,83
2021-05-07,disabled-desactive,granted-autorise,1080
2021-05-07,disabled-desactive,denied-refuse,<20
2021-05-08,enabled-active,blocked-bloque,61
2021-05-08,enabled-active,granted-autorise,2389
2021-05-08,enabled-active,denied-refuse,<20
2021-05-08,disabled-desactive,blocked-bloque,71
2021-05-08,disabled-desactive,granted-autorise,1105
2021-05-08,disabled-desactive,denied-refuse,<20
2021-05-09,enabled-active,blocked-bloque,52
2021-05-09,enabled-active,granted-autorise,1971
2021-05-09,enabled-active,denied-refuse,<20
2021-05-09,disabled-desactive,blocked-bloque,66
2021-05-09,disabled-desactive,granted-autorise,998
2021-05-09,disabled-desactive,denied-refuse,<20
2021-05-10,enabled-active,blocked-bloque,46
2021-05-10,enabled-active,granted-autorise,2300
2021-05-10,enabled-active,denied-refuse,<20
2021-05-10,disabled-desactive,blocked-bloque,81
2021-05-10,disabled-desactive,granted-autorise,1009
2021-05-10,disabled-desactive,denied-refuse,<20
2021-05-11,enabled-active,blocked-bloque,74
2021-05-11,enabled-active,granted-autorise,2330
2021-05-11,enabled-active,denied-refuse,<20
2021-05-11,disabled-desactive,blocked-bloque,70
2021-05-11,disabled-desactive,granted-autorise,1135
2021-05-11,disabled-desactive,denied-refuse,<20
2021-05-12,enabled-active,blocked-bloque,51
2021-05-12,enabled-active,granted-autorise,2283
2021-05-12,enabled-active,denied-refuse,<20
2021-05-12,disabled-desactive,blocked-bloque,67
2021-05-12,disabled-desactive,granted-autorise,1099
2021-05-12,disabled-desactive,denied-refuse,<20
2021-05-13,enabled-active,blocked-bloque,62
2021-05-13,enabled-active,granted-autorise,2061
2021-05-13,enabled-active,denied-refuse,<20
2021-05-13,disabled-desactive,blocked-bloque,76
2021-05-13,disabled-desactive,granted-autorise,980
2021-05-13,disabled-desactive,denied-refuse,<20
2021-05-14,enabled-active,blocked-bloque,46
2021-05-14,enabled-active,granted-autorise,2007
2021-05-14,enabled-active,denied-refuse,<20
2021-05-14,disabled-desactive,blocked-bloque,87
2021-05-14,disabled-desactive,granted-autorise,973
2021-05-14,disabled-desactive,denied-refuse,<20
2021-05-15,enabled-active,blocked-bloque,41
2021-05-15,enabled-active,granted-autorise,1664
2021-05-15,enabled-active,denied-refuse,<20
2021-05-15,disabled-desactive,blocked-bloque,55
2021-05-15,disabled-desactive,granted-autorise,953
2021-05-15,disabled-desactive,denied-refuse,<20
2021-05-16,enabled-active,blocked-bloque,53
2021-05-16,enabled-active,granted-autorise,1602
2021-05-16,enabled-active,denied-refuse,<20
2021-05-16,disabled-desactive,blocked-bloque,63
2021-05-16,disabled-desactive,granted-autorise,849
2021-05-16,disabled-desactive,denied-refuse,<20
2021-05-17,enabled-active,blocked-bloque,49
2021-05-17,enabled-active,granted-autorise,1885
2021-05-17,enabled-active,denied-refuse,<20
2021-05-17,disabled-desactive,blocked-bloque,78
2021-05-17,disabled-desactive,granted-autorise,866
2021-05-17,disabled-desactive,denied-refuse,<20
2021-05-18,enabled-active,blocked-bloque,49
2021-05-18,enabled-active,granted-autorise,1804
2021-05-18,enabled-active,denied-refuse,<20
2021-05-18,disabled-desactive,blocked-bloque,60
2021-05-18,disabled-desactive,granted-autorise,933
2021-05-18,disabled-desactive,denied-refuse,<20
2021-05-19,enabled-active,blocked-bloque,44
2021-05-19,enabled-active,granted-autorise,1772
2021-05-19,enabled-active,denied-refuse,<20
2021-05-19,disabled-desactive,blocked-bloque,68
2021-05-19,disabled-desactive,granted-autorise,979
2021-05-19,disabled-desactive,denied-refuse,<20
2021-05-20,enabled-active,blocked-bloque,49
2021-05-20,enabled-active,granted-autorise,1668
2021-05-20,enabled-active,denied-refuse,<20
2021-05-20,disabled-desactive,blocked-bloque,64
2021-05-20,disabled-desactive,granted-autorise,1115
2021-05-20,disabled-desactive,denied-refuse,<20
2021-05-21,enabled-active,blocked-bloque,37
2021-05-21,enabled-active,granted-autorise,1604
2021-05-21,enabled-active,denied-refuse,<20
2021-05-21,disabled-desactive,blocked-bloque,61
2021-05-21,disabled-desactive,granted-autorise,1008
2021-05-21,disabled-desactive,denied-refuse,<20
2021-05-22,enabled-active,blocked-bloque,47
2021-05-22,enabled-active,granted-autorise,1365
2021-05-22,enabled-active,denied-refuse,<20
2021-05-22,disabled-desactive,blocked-bloque,71
2021-05-22,disabled-desactive,granted-autorise,1124
2021-05-22,disabled-desactive,denied-refuse,<20
2021-05-23,enabled-active,blocked-bloque,36
2021-05-23,enabled-active,granted-autorise,1480
2021-05-23,enabled-active,denied-refuse,<20
2021-05-23,disabled-desactive,blocked-bloque,68
2021-05-23,disabled-desactive,granted-autorise,978
2021-05-23,disabled-desactive,denied-refuse,<20
2021-05-24,enabled-active,blocked-bloque,29
2021-05-24,enabled-active,granted-autorise,1348
2021-05-24,enabled-active,denied-refuse,<20
2021-05-24,disabled-desactive,blocked-bloque,57
