date,region,exposure_status,count
2021-03-12,SK,monitoring,<20
2021-03-12,YT,exposed,<20
2021-03-12,YT,monitoring,<20
2021-03-12,NPTS,exposed,<20
2021-03-12,NPTS,monitoring,<20
2021-03-13,AB,exposed,<20
2021-03-13,AB,monitoring,<20
2021-03-13,BC,exposed,<20
2021-03-13,BC,monitoring,<20
2021-03-13,MB,exposed,<20
2021-03-13,MB,monitoring,<20
2021-03-13,NB,exposed,<20
2021-03-13,NB,monitoring,<20
2021-03-13,NL,exposed,<20
2021-03-13,NL,monitoring,<20
2021-03-13,NT,exposed,<20
2021-03-13,NT,monitoring,<20
2021-03-13,NS,exposed,<20
2021-03-13,NS,monitoring,<20
2021-03-13,NU,exposed,<20
2021-03-13,NU,monitoring,<20
2021-03-13,ON,exposed,<20
2021-03-13,ON,monitoring,<20
2021-03-13,PE,exposed,<20
2021-03-13,PE,monitoring,<20
2021-03-13,QC,exposed,<20
2021-03-13,QC,monitoring,<20
2021-03-13,SK,exposed,<20
2021-03-13,SK,monitoring,<20
2021-03-13,YT,exposed,<20
2021-03-13,YT,monitoring,<20
2021-03-13,NPTS,exposed,<20
2021-03-13,NPTS,monitoring,<20
2021-03-14,AB,exposed,<20
2021-03-14,AB,monitoring,<20
2021-03-14,BC,exposed,<20
2021-03-14,BC,monitoring,<20
2021-03-14,MB,exposed,<20
2021-03-14,MB,monitoring,<20
2021-03-14,NB,exposed,<20
2021-03-14,NB,monitoring,<20
2021-03-14,NL,exposed,<20
2021-03-14,NL,monitoring,<20
2021-03-14,NT,exposed,<20
2021-03-14,NT,monitoring,<20
2021-03-14,NS,exposed,<20
2021-03-14,NS,monitoring,<20
2021-03-14,NU,exposed,<20
2021-03-14,NU,monitoring,<20
2021-03-14,ON,exposed,<20
2021-03-14,ON,monitoring,<20
2021-03-14,PE,exposed,<20
2021-03-14,PE,monitoring,<20
2021-03-14,QC,exposed,<20
2021-03-14,QC,monitoring,<20
2021-03-14,SK,exposed,<20
2021-03-14,SK,monitoring,<20
2021-03-14,YT,exposed,<20
2021-03-14,YT,monitoring,<20
2021-03-14,NPTS,exposed,<20
2021-03-14,NPTS,monitoring,<20
2021-03-15,AB,exposed,<20
2021-03-15,AB,monitoring,<20
2021-03-15,BC,exposed,<20
2021-03-15,BC,monitoring,<20
2021-03-15,MB,exposed,<20
2021-03-15,MB,monitoring,<20
2021-03-15,NB,exposed,<20
2021-03-15,NB,monitoring,<20
2021-03-15,NL,exposed,<20
2021-03-15,NL,monitoring,<20
2021-03-15,NT,exposed,<20
2021-03-15,NT,monitoring,<20
2021-03-15,NS,exposed,<20
2021-03-15,NS,monitoring,<20
2021-03-15,NU,exposed,<20
2021-03-15,NU,monitoring,<20
2021-03-15,ON,exposed,<20
2021-03-15,ON,monitoring,<20
2021-03-15,PE,exposed,<20
2021-03-15,PE,monitoring,<20
2021-03-15,QC,exposed,<20
2021-03-15,QC,monitoring,<20
2021-03-15,SK,exposed,<20
2021-03-15,SK,monitoring,<20
2021-03-15,YT,exposed,<20
2021-03-15,YT,monitoring,<20
2021-03-15,NPTS,exposed,<20
2021-03-15,NPTS,monitoring,<20
2021-03-16,AB,exposed,<20
2021-03-16,AB,monitoring,<20
2021-03-16,BC,exposed,<20
2021-03-16,BC,monitoring,<20
2021-03-16,MB,exposed,<20
2021-03-16,MB,monitoring,<20
2021-03-16,NB,exposed,<20
2021-03-16,NB,monitoring,<20
2021-03-16,NL,exposed,<20
2021-03-16,NL,monitoring,<20
2021-03-16,NT,exposed,<20
2021-03-16,NT,monitoring,<20
2021-03-16,NS,exposed,<20
2021-03-16,NS,monitoring,<20
2021-03-16,NU,exposed,<20
2021-03-16,NU,monitoring,<20
2021-03-16,ON,exposed,<20
2021-03-16,ON,monitoring,<20
2021-03-16,PE,exposed,<20
2021-03-16,PE,monitoring,<20
2021-03-16,QC,exposed,<20
2021-03-16,QC,monitoring,<20
2021-03-16,SK,exposed,<20
2021-03-16,SK,monitoring,<20
2021-03-16,YT,exposed,<20
2021-03-16,YT,monitoring,<20
2021-03-16,NPTS,exposed,<20
2021-03-16,NPTS,monitoring,<20
2021-03-17,AB,exposed,<20
2021-03-17,AB,monitoring,<20
2021-03-17,BC,exposed,<20
2021-03-17,BC,monitoring,<20
2021-03-17,MB,exposed,<20
2021-03-17,MB,monitoring,<20
2021-03-17,NB,exposed,<20
2021-03-17,NB,monitoring,<20
2021-03-17,NL,exposed,<20
2021-03-17,NL,monitoring,<20
2021-03-17,NT,exposed,<20
2021-03-17,NT,monitoring,<20
2021-03-17,NS,exposed,<20
2021-03-17,NS,monitoring,<20
2021-03-17,NU,exposed,<20
2021-03-17,NU,monitoring,<20
2021-03-17,ON,exposed,<20
2021-03-17,ON,monitoring,<20
2021-03-17,PE,exposed,<20
2021-03-17,PE,monitoring,<20
2021-03-17,QC,exposed,<20
2021-03-17,QC,monitoring,<20
2021-03-17,SK,exposed,<20
2021-03-17,SK,monitoring,<20
2021-03-17,YT,exposed,<20
2021-03-17,YT,monitoring,<20
2021-03-17,NPTS,exposed,<20
2021-03-17,NPTS,monitoring,<20
2021-03-18,AB,exposed,<20
2021-03-18,AB,monitoring,<20
2021-03-18,BC,exposed,<20
2021-03-18,BC,monitoring,<20
2021-03-18,MB,exposed,<20
2021-03-18,MB,monitoring,<20
2021-03-18,NB,exposed,<20
2021-03-18,NB,monitoring,<20
2021-03-18,NL,exposed,<20
2021-03-18,NL,monitoring,<20
2021-03-18,NT,exposed,<20
2021-03-18,NT,monitoring,<20
2021-03-18,NS,exposed,<20
2021-03-18,NS,monitoring,<20
2021-03-18,NU,exposed,<20
2021-03-18,NU,monitoring,<20
2021-03-18,ON,exposed,<20
2021-03-18,ON,monitoring,<20
2021-03-18,PE,exposed,<20
2021-03-18,PE,monitoring,<20
2021-03-18,QC,exposed,<20
2021-03-18,QC,monitoring,<20
2021-03-18,SK,exposed,<20
2021-03-18,SK,monitoring,<20
2021-03-18,YT,exposed,<20
2021-03-18,YT,monitoring,<20
2021-03-18,NPTS,exposed,<20
2021-03-18,NPTS,monitoring,<20
2021-03-19,AB,exposed,<20
2021-03-19,AB,monitoring,<20
2021-03-19,BC,exposed,<20
2021-03-19,BC,monitoring,<20
2021-03-19,MB,exposed,<20
2021-03-19,MB,monitoring,<20
2021-03-19,NB,exposed,<20
2021-03-19,NB,monitoring,<20
2021-03-19,NL,exposed,<20
2021-03-19,NL,monitoring,<20
2021-03-19,NT,exposed,<20
2021-03-19,NT,monitoring,<20
2021-03-19,NS,exposed,<20
2021-03-19,NS,monitoring,<20
2021-03-19,NU,exposed,<20
2021-03-19,NU,monitoring,<20
2021-03-19,ON,exposed,<20
2021-03-19,ON,monitoring,<20
2021-03-19,PE,exposed,<20
2021-03-19,PE,monitoring,<20
2021-03-19,QC,exposed,<20
2021-03-19,QC,monitoring,<20
2021-03-19,SK,exposed,<20
2021-03-19,SK,monitoring,<20
2021-03-19,YT,exposed,<20
2021-03-19,YT,monitoring,<20
2021-03-19,NPTS,exposed,<20
2021-03-19,NPTS,monitoring,<20
2021-03-20,AB,exposed,<20
2021-03-20,AB,monitoring,<20
2021-03-20,BC,exposed,<20
2021-03-20,BC,monitoring,<20
2021-03-20,MB,exposed,<20
2021-03-20,MB,monitoring,<20
2021-03-20,NB,exposed,<20
2021-03-20,NB,monitoring,<20
2021-03-20,NL,exposed,<20
2021-03-20,NL,monitoring,<20
2021-03-20,NT,exposed,<20
2021-03-20,NT,monitoring,<20
2021-03-20,NS,exposed,<20
2021-03-20,NS,monitoring,<20
2021-03-20,NU,exposed,<20
2021-03-20,NU,monitoring,<20
2021-03-20,ON,exposed,<20
2021-03-20,ON,monitoring,<20
2021-03-20,PE,exposed,<20
2021-03-20,PE,monitoring,<20
2021-03-20,QC,exposed,<20
2021-03-20,QC,monitoring,<20
2021-03-20,SK,exposed,<20
2021-03-20,SK,monitoring,<20
2021-03-20,YT,exposed,<20
2021-03-20,YT,monitoring,<20
2021-03-20,NPTS,exposed,<20
2021-03-20,NPTS,monitoring,<20
